model,dataset_0,dataset_1,dataset_2,dataset_3,dataset_4,dataset_5,dataset_6,dataset_7,dataset_8,dataset_9,dataset_10,dataset_11,dataset_12,dataset_13
XGBoost,0.931,1.0,0.94,0.947,0.885,0.966,0.862,0.779,0.984,0.714,0.787,0.951,0.999,0.925
CatBoost,0.93,1.0,0.938,0.924,0.881,0.963,0.861,0.772,0.93,0.628,0.796,0.948,0.998,0.926
LightGBM,0.931,0.999,0.943,0.943,0.887,0.972,0.862,0.774,0.979,0.732,0.787,0.951,0.999,0.927
Trompt,0.919,1.0,0.945,0.942,0.881,0.964,0.855,0.778,0.933,0.686,0.793,0.952,1.0,0.916
ResNet,0.917,1.0,0.937,0.938,0.865,0.96,0.828,0.768,0.925,0.665,0.794,0.946,1.0,0.911
MLP,0.913,1.0,0.934,0.938,0.863,0.953,0.83,0.769,0.903,0.666,0.789,0.94,1.0,0.91
FTTransformerBucket,0.915,0.999,0.936,0.939,0.876,0.96,0.857,0.771,0.909,0.636,0.788,0.95,0.999,0.913
ExcelFormer,0.918,1.0,0.939,0.939,0.883,0.969,0.833,0.78,0.94,0.67,0.794,0.95,0.999,0.919
FTTransformer,0.918,1.0,0.94,0.936,0.874,0.959,0.828,0.773,0.909,0.635,0.79,0.949,1.0,0.912
TabNet,0.911,1.0,0.931,0.937,0.864,0.944,0.828,0.771,0.913,0.606,0.79,0.936,1.0,0.91
TabTransformer,0.91,1.0,0.928,0.918,0.829,0.928,0.816,0.757,0.885,0.652,0.78,0.937,0.996,0.905
