Unnamed: 0,dataset_0,dataset_1,dataset_2,dataset_3,dataset_4,dataset_5
XGBoost,0.663,0.014,0.089,0.14,0.539,0.9
CatBoost,0.669,0.018,0.092,0.145,0.549,0.898
LightGBM,0.66,0.015,0.085,0.141,0.524,0.895
Trompt,,0.014,0.092,0.14,0.537,0.901
ResNet,0.676,0.016,0.101,0.147,0.555,0.903
MLP,0.68,0.016,0.105,0.14,0.558,0.905
FTTransformerBucket,0.738,0.023,0.113,0.147,0.545,0.908
ExcelFormer,0.667,0.015,0.09,0.142,0.526,0.901
FTTransformer,0.673,0.056,0.119,0.141,0.561,0.907
TabNet,0.683,0.024,0.115,0.14,0.549,0.899
TabTransformer,,0.799,0.148,0.708,0.755,0.964
