Unnamed: 0,dataset_0,dataset_1,dataset_2,dataset_3,dataset_4,dataset_5,dataset_6,dataset_7,dataset_8,dataset_9,dataset_10,dataset_11,dataset_12
XGBoost,0.25,0.038,0.187,0.475,0.328,0.401,0.249,0.363,0.904,0.056,0.82,0.857,0.418
CatBoost,0.265,0.062,0.128,0.336,0.346,0.443,0.375,0.273,0.881,0.04,0.756,0.876,0.439
LightGBM,0.253,0.054,0.112,0.302,0.325,0.384,0.295,0.272,0.877,0.011,0.702,0.863,0.395
Trompt,0.261,0.015,0.118,0.262,0.323,0.418,0.329,0.312,,0.008,0.779,0.874,0.424
ResNet,0.288,0.018,0.124,0.268,0.335,0.434,0.325,0.324,0.895,0.036,0.794,0.875,0.468
MLP,0.3,0.141,0.125,0.272,0.348,0.435,0.331,0.38,0.893,0.017,0.784,0.881,0.467
FTTransformerBucket,0.325,0.096,0.36,0.284,0.342,0.441,0.345,0.339,,0.105,0.807,0.885,0.468
ExcelFormer,0.262,0.099,0.128,0.264,0.331,0.411,0.298,0.308,,0.011,0.785,0.89,0.431
FTTransformer,0.335,0.161,0.14,0.277,0.335,0.445,0.361,0.345,,0.106,0.826,0.896,0.461
TabNet,0.279,0.224,0.141,0.275,0.348,0.451,0.355,0.332,0.992,0.015,0.805,0.885,0.544
TabTransformer,0.624,0.229,0.369,0.34,0.388,0.539,0.619,0.351,0.893,0.431,0.819,0.886,0.545
