task_type,scale_type,idx,model_type,best_test_metric
binary_classification,small,0,LightGBM,0.9297131833303804
binary_classification,small,1,LightGBM,0.9999877752105719
binary_classification,small,2,LightGBM,0.9418890342732749
binary_classification,small,3,LightGBM,0.9417209675979649
binary_classification,small,4,LightGBM,0.8887459623245577
binary_classification,small,5,LightGBM,0.9725286127029227
binary_classification,small,6,LightGBM,0.8613484994382924
binary_classification,small,7,LightGBM,0.7810878566161874
binary_classification,small,8,LightGBM,0.9800081054793041
binary_classification,small,9,LightGBM,0.7268518518518517
binary_classification,small,10,LightGBM,0.7903863389027591
binary_classification,small,11,LightGBM,0.9508501992172349
binary_classification,small,12,LightGBM,0.9993350121980011
binary_classification,small,13,LightGBM,0.9278053663931085
binary_classification,medium,0,LightGBM,0.6377579260894868
binary_classification,medium,1,LightGBM,0.954270740272026
binary_classification,medium,2,LightGBM,0.6541280591188219
binary_classification,medium,3,LightGBM,0.9861100709377395
binary_classification,medium,4,LightGBM,0.7214046479835953
binary_classification,medium,5,LightGBM,0.9952495513746962
binary_classification,medium,6,LightGBM,0.8788472005885406
binary_classification,medium,7,LightGBM,0.9110012830352766
binary_classification,medium,8,LightGBM,0.8101397163607322
binary_classification,large,0,LightGBM,0.8322224038629363
binary_classification,small,0,TabNet,0.9129119634628295
binary_classification,small,1,TabNet,0.9999938845634461
binary_classification,small,2,TabNet,0.9333504676818848
binary_classification,small,3,TabNet,0.9354956269264221
binary_classification,small,4,TabNet,0.8612761855125427
binary_classification,small,5,TabNet,0.9516902804374695
binary_classification,small,6,TabNet,0.8275216698646546
binary_classification,small,7,TabNet,0.7729403972625732
binary_classification,small,8,TabNet,0.9148950576782227
binary_classification,small,9,TabNet,0.6041673421859741
binary_classification,small,10,TabNet,0.7872159361839295
binary_classification,small,11,TabNet,0.9333464145660401
binary_classification,small,12,TabNet,0.9994365453720093
binary_classification,small,13,TabNet,0.9080445766448975
binary_classification,medium,0,TabNet,0.6251931309700012
binary_classification,medium,1,TabNet,0.9453408479690552
binary_classification,medium,2,TabNet,0.6484526038169861
binary_classification,medium,3,TabNet,0.9788866996765136
binary_classification,medium,4,TabNet,0.7038301944732666
binary_classification,medium,5,TabNet,0.996090316772461
binary_classification,medium,6,TabNet,0.8619574189186097
binary_classification,medium,7,TabNet,0.889894449710846
binary_classification,medium,8,TabNet,0.7982709050178528
binary_classification,large,0,TabNet,0.8359055995941163
binary_classification,small,0,FTTransformer,0.9178911566734314
binary_classification,small,1,FTTransformer,0.9999339699745178
binary_classification,small,2,FTTransformer,0.9392266511917114
binary_classification,small,3,FTTransformer,0.936467456817627
binary_classification,small,4,FTTransformer,0.873291301727295
binary_classification,small,5,FTTransformer,0.9571146845817566
binary_classification,small,6,FTTransformer,0.82739098072052
binary_classification,small,7,FTTransformer,0.7775665521621704
binary_classification,small,8,FTTransformer,0.9167144179344178
binary_classification,small,9,FTTransformer,0.6209602594375611
binary_classification,small,10,FTTransformer,0.7918299078941345
binary_classification,small,11,FTTransformer,0.9495354533195496
binary_classification,small,12,FTTransformer,0.9995002746582031
binary_classification,small,13,FTTransformer,0.9112875699996948
binary_classification,medium,0,FTTransformer,0.6345972418785095
binary_classification,medium,1,FTTransformer,0.9357072353363037
binary_classification,medium,2,FTTransformer,0.6502835392951966
binary_classification,medium,3,FTTransformer,0.981975543498993
binary_classification,medium,4,FTTransformer,0.7053773760795593
binary_classification,medium,5,FTTransformer,0.9843637466430664
binary_classification,medium,6,FTTransformer,0.8719637989997864
binary_classification,medium,7,FTTransformer,0.8843030333518982
binary_classification,medium,8,FTTransformer,0.7138519406318664
binary_classification,large,0,FTTransformer,0.8442965149879456
regression,small,0,FTTransformer,0.31136514544487
regression,small,1,FTTransformer,0.1583558052778244
regression,small,2,FTTransformer,0.14521785974502563
regression,small,3,FTTransformer,0.274109810590744
regression,small,4,FTTransformer,0.3397522926330566
regression,small,5,FTTransformer,0.44717065095901487
regression,small,6,FTTransformer,0.37218297123908994
regression,small,7,FTTransformer,0.34814280867576597
regression,small,8,FTTransformer,0.8922565221786499
regression,small,9,FTTransformer,0.05521934404969216
regression,small,10,FTTransformer,0.8134136915206909
regression,small,11,FTTransformer,0.8826808094978332
regression,small,12,FTTransformer,0.46799267530441285
regression,medium,0,FTTransformer,0.6738086819648743
regression,medium,1,FTTransformer,0.019829834625124932
regression,medium,2,FTTransformer,0.10438774824142456
regression,medium,3,FTTransformer,0.1407691776752472
regression,medium,4,FTTransformer,0.5534559726715088
regression,medium,5,FTTransformer,0.9030391335487366
multiclass_classification,medium,0,FTTransformer,0.9467222094535828
multiclass_classification,medium,1,FTTransformer,0.37831621170043944
multiclass_classification,medium,2,FTTransformer,0.7275137305259705
binary_classification,small,0,ResNet,0.9168627381324768
binary_classification,small,1,ResNet,0.9999364256858826
binary_classification,small,2,ResNet,0.9416589498519897
binary_classification,small,3,ResNet,0.9383464217185974
binary_classification,small,4,ResNet,0.8625782251358032
binary_classification,small,5,ResNet,0.9602499127388
binary_classification,small,6,ResNet,0.828867745399475
binary_classification,small,7,ResNet,0.7694179773330688
binary_classification,small,8,ResNet,0.9228165626525879
binary_classification,small,9,ResNet,0.6732792615890503
binary_classification,small,10,ResNet,0.793258261680603
binary_classification,small,11,ResNet,0.9453298687934876
binary_classification,small,12,ResNet,0.9997678756713867
binary_classification,small,13,ResNet,0.9117755055427551
binary_classification,medium,0,ResNet,0.6359962463378906
binary_classification,medium,1,ResNet,0.9475287675857544
binary_classification,medium,2,ResNet,0.6494760036468505
binary_classification,medium,3,ResNet,0.9840815305709839
binary_classification,medium,4,ResNet,0.7028356671333313
binary_classification,medium,5,ResNet,0.9958049058914185
binary_classification,medium,6,ResNet,0.8708436965942383
binary_classification,medium,7,ResNet,0.8906065702438355
binary_classification,medium,8,ResNet,0.7260411024093628
binary_classification,large,0,ResNet,0.8433384537696839
regression,small,0,ResNet,0.27248207926750184
regression,small,1,ResNet,0.018834705650806426
regression,small,2,ResNet,0.12487186640501022
regression,small,3,ResNet,0.2702059090137482
regression,small,4,ResNet,0.3343167304992676
regression,small,5,ResNet,0.4377795994281769
regression,small,6,ResNet,0.3342053294181824
regression,small,7,ResNet,0.31655171513557434
regression,small,8,ResNet,0.8935969591140747
regression,small,9,ResNet,0.021952296048402785
regression,small,10,ResNet,0.7912968158721924
regression,small,11,ResNet,0.8742991209030151
regression,small,12,ResNet,0.4617886126041412
regression,medium,0,ResNet,0.6756606101989746
regression,medium,1,ResNet,0.014287828840315342
regression,medium,2,ResNet,0.09202131628990173
regression,medium,3,ResNet,0.1429070293903351
regression,medium,4,ResNet,0.5521887302398681
regression,medium,5,ResNet,0.9016975402832031
multiclass_classification,medium,0,ResNet,0.9618333220481873
multiclass_classification,medium,1,ResNet,0.38782395124435426
multiclass_classification,medium,2,ResNet,0.7297826647758484
binary_classification,small,0,TabTransformer,0.9118000745773316
binary_classification,small,1,TabTransformer,0.9999425292015076
binary_classification,small,2,TabTransformer,0.9272721529006958
binary_classification,small,3,TabTransformer,0.9196449637413024
binary_classification,small,4,TabTransformer,0.8328338146209717
binary_classification,small,5,TabTransformer,0.9266067028045655
binary_classification,small,6,TabTransformer,0.8129680037498475
binary_classification,small,7,TabTransformer,0.7579377293586731
binary_classification,small,8,TabTransformer,0.8837783455848693
binary_classification,small,9,TabTransformer,0.6485524535179138
binary_classification,small,10,TabTransformer,0.7763859629631042
binary_classification,small,11,TabTransformer,0.9363245248794556
binary_classification,small,12,TabTransformer,0.9961784958839417
binary_classification,small,13,TabTransformer,0.9058620452880859
binary_classification,medium,1,TabTransformer,0.9489261150360108
binary_classification,medium,2,TabTransformer,0.6422525882720947
binary_classification,medium,3,TabTransformer,0.9821586370468139
binary_classification,medium,4,TabTransformer,0.7005654454231263
binary_classification,medium,5,TabTransformer,0.9813824772834778
binary_classification,medium,6,TabTransformer,0.8633183479309082
binary_classification,medium,7,TabTransformer,0.8684258222579956
binary_classification,medium,8,TabTransformer,0.7947593808174134
binary_classification,large,0,TabTransformer,0.8209788918495178
regression,small,0,TabTransformer,0.6300432562828064
regression,small,1,TabTransformer,0.23050645589828492
regression,small,2,TabTransformer,0.3373058378696442
regression,small,3,TabTransformer,0.3397101640701294
regression,small,4,TabTransformer,0.38894802927970884
regression,small,5,TabTransformer,0.5197604537010193
regression,small,6,TabTransformer,0.6185895085334778
regression,small,7,TabTransformer,0.35165627002716066
regression,small,8,TabTransformer,0.8937142729759217
regression,small,9,TabTransformer,0.43056478500366213
regression,small,10,TabTransformer,0.8229673266410827
regression,small,11,TabTransformer,0.8831954717636108
regression,small,12,TabTransformer,0.5554952025413513
regression,medium,1,TabTransformer,0.7945485830307006
multiclass_classification,medium,0,TabTransformer,0.9529999971389771
multiclass_classification,medium,1,TabTransformer,0.3608342230319977
multiclass_classification,medium,2,TabTransformer,0.7157153010368347
binary_classification,small,0,Trompt,0.9189222574234008
binary_classification,small,1,Trompt,1.0
binary_classification,small,2,Trompt,0.9440750479698181
