task_type,scale_type,idx,model_type,best_test_metric
binary_classification,small,0,LightGBM,0.9297131833303804
binary_classification,small,1,LightGBM,0.9999877752105719
binary_classification,small,2,LightGBM,0.9418890342732749
binary_classification,small,3,LightGBM,0.9417209675979649
binary_classification,small,4,LightGBM,0.8887459623245577
binary_classification,small,5,LightGBM,0.9725286127029227
binary_classification,small,6,LightGBM,0.8613484994382924
binary_classification,small,7,LightGBM,0.7810878566161874
binary_classification,small,8,LightGBM,0.9800081054793041
binary_classification,small,9,LightGBM,0.7268518518518517
binary_classification,small,10,LightGBM,0.7903863389027591
binary_classification,small,11,LightGBM,0.9508501992172349
binary_classification,small,12,LightGBM,0.9993350121980011
binary_classification,small,13,LightGBM,0.9278053663931085
binary_classification,small,0,FTTransformer,0.9178911566734314
binary_classification,small,1,FTTransformer,0.9999339699745178
binary_classification,small,2,FTTransformer,0.9392266511917114
binary_classification,small,3,FTTransformer,0.936467456817627
binary_classification,small,4,FTTransformer,0.873291301727295
binary_classification,small,5,FTTransformer,0.9571146845817566
binary_classification,small,6,FTTransformer,0.82739098072052
binary_classification,small,7,FTTransformer,0.7775665521621704
binary_classification,small,8,FTTransformer,0.9167144179344178
binary_classification,small,9,FTTransformer,0.6209602594375611
binary_classification,small,10,FTTransformer,0.7918299078941345
binary_classification,small,11,FTTransformer,0.9495354533195496
binary_classification,small,12,FTTransformer,0.9995002746582031
binary_classification,small,13,FTTransformer,0.9112875699996948
binary_classification,small,0,ResNet,0.9168627381324768
binary_classification,small,1,ResNet,0.9999364256858826
binary_classification,small,2,ResNet,0.9416589498519897
binary_classification,small,3,ResNet,0.9383464217185974
binary_classification,small,4,ResNet,0.8625782251358032
binary_classification,small,5,ResNet,0.9602499127388
binary_classification,small,6,ResNet,0.828867745399475
binary_classification,small,7,ResNet,0.7694179773330688
binary_classification,small,8,ResNet,0.9228165626525879
binary_classification,small,9,ResNet,0.6732792615890503
binary_classification,small,10,ResNet,0.793258261680603
binary_classification,small,11,ResNet,0.9453298687934876
binary_classification,small,12,ResNet,0.9997678756713867
binary_classification,small,13,ResNet,0.9117755055427551
binary_classification,small,0,Trompt,0.9189222574234008
binary_classification,small,1,Trompt,1.0
binary_classification,small,2,Trompt,0.9440750479698181
binary_classification,small,3,Trompt,0.9403021812438965
binary_classification,small,4,Trompt,0.8804240584373474
binary_classification,small,5,Trompt,0.966116988658905
binary_classification,small,6,Trompt,0.8540970325469971
binary_classification,small,7,Trompt,0.7758570551872254
binary_classification,small,8,Trompt,0.9266773343086243
binary_classification,small,9,Trompt,0.6983841300010681
binary_classification,small,10,Trompt,0.7930574297904969
binary_classification,small,11,Trompt,0.9532615184783936
binary_classification,small,12,Trompt,0.9996151566505432
binary_classification,small,13,Trompt,0.9159466862678528
binary_classification,small,0,LinearL1,0.9103411691693062
binary_classification,small,1,LinearL1,0.9999999999999999
binary_classification,small,2,LinearL1,0.9176762129263737
binary_classification,small,3,LinearL1,0.8513255378023743
binary_classification,small,4,LinearL1,0.8439742160477945
binary_classification,small,5,LinearL1,0.9121398236054681
binary_classification,small,6,LinearL1,0.7922190602288098
binary_classification,small,7,LinearL1,0.736740967613862
binary_classification,small,8,LinearL1,0.8274894628769048
binary_classification,small,9,LinearL1,0.635942760942761
binary_classification,small,10,LinearL1,0.7794675436911849
binary_classification,small,11,LinearL1,0.8895005465251578
binary_classification,small,12,LinearL1,0.9416030534351145
binary_classification,small,13,LinearL1,0.9053810604737792
binary_classification,small,0,TabPerceiver,0.9178929090499878
binary_classification,small,1,TabPerceiver,0.9999804377555848
binary_classification,small,2,TabPerceiver,0.9346058130264282
binary_classification,small,3,TabPerceiver,0.9229688286781311
binary_classification,small,4,TabPerceiver,0.8617614269256592
binary_classification,small,5,TabPerceiver,0.9511499881744385
binary_classification,small,6,TabPerceiver,0.8207190155982971
binary_classification,small,7,TabPerceiver,0.7674187660217285
binary_classification,small,8,TabPerceiver,0.918360710144043
binary_classification,small,9,TabPerceiver,0.6260922074317932
binary_classification,small,10,TabPerceiver,0.7894573092460633
binary_classification,small,11,TabPerceiver,0.9389310836791992
binary_classification,small,12,TabPerceiver,0.9986259460449218
binary_classification,small,13,TabPerceiver,0.9126091599464417
binary_classification,small,0,MemPerceiver,0.9162629127502442
binary_classification,small,1,MemPerceiver,0.9996182441711425
binary_classification,small,2,MemPerceiver,0.9331265926361084
binary_classification,small,3,MemPerceiver,0.9240851402282715
binary_classification,small,4,MemPerceiver,0.8640358448028564
binary_classification,small,5,MemPerceiver,0.9545653700828552
binary_classification,small,6,MemPerceiver,0.8131349682807922
binary_classification,small,7,MemPerceiver,0.7681650757789612
binary_classification,small,8,MemPerceiver,0.8932585835456848
binary_classification,small,9,MemPerceiver,0.6469046592712402
binary_classification,small,10,MemPerceiver,0.7834255337715149
binary_classification,small,11,MemPerceiver,0.9431945443153381
binary_classification,small,12,MemPerceiver,0.9991234421730042
binary_classification,small,13,MemPerceiver,0.9110929131507873
binary_classification,small,0,MemGlovalAvgPool,0.9160103440284729
binary_classification,small,1,MemGlovalAvgPool,0.9994539618492126
binary_classification,small,2,MemGlovalAvgPool,0.9349233508110046
binary_classification,small,3,MemGlovalAvgPool,0.9156007289886474
binary_classification,small,4,MemGlovalAvgPool,0.8738667964935303
binary_classification,small,5,MemGlovalAvgPool,0.9521470785140991
binary_classification,small,6,MemGlovalAvgPool,0.8273401856422424
binary_classification,small,7,MemGlovalAvgPool,0.7751008152961731
binary_classification,small,8,MemGlovalAvgPool,0.8996591806411743
binary_classification,small,9,MemGlovalAvgPool,0.5948875188827515
binary_classification,small,10,MemGlovalAvgPool,0.7938947558403016
binary_classification,small,11,MemGlovalAvgPool,0.9390298128128052
binary_classification,small,12,MemGlovalAvgPool,0.999144721031189
binary_classification,small,13,MemGlovalAvgPool,0.916610860824585
