idx,FTTransformer,LightGBM,LinearL1,MemGlovalAvgPool,MemPerceiver,ResNet,TabPerceiver,Trompt
0,0.9179,0.9297,0.9103,0.9160,0.9163,0.9169,0.9179,0.9189
1,0.9999,1.0000,1.0000,0.9995,0.9996,0.9999,1.0000,1.0000
2,0.9392,0.9419,0.9177,0.9349,0.9331,0.9417,0.9346,0.9441
3,0.9365,0.9417,0.8513,0.9156,0.9241,0.9383,0.9230,0.9403
4,0.8733,0.8887,0.8440,0.8739,0.8640,0.8626,0.8618,0.8804
5,0.9571,0.9725,0.9121,0.9521,0.9546,0.9602,0.9511,0.9661
6,0.8274,0.8613,0.7922,0.8273,0.8131,0.8289,0.8207,0.8541
7,0.7776,0.7811,0.7367,0.7751,0.7682,0.7694,0.7674,0.7759
8,0.9167,0.9800,0.8275,0.8997,0.8933,0.9228,0.9184,0.9267
9,0.6210,0.7269,0.6359,0.5949,0.6469,0.6733,0.6261,0.6984
10,0.7918,0.7904,0.7795,0.7939,0.7834,0.7933,0.7895,0.7931
11,0.9495,0.9509,0.8895,0.9390,0.9432,0.9453,0.9389,0.9533
12,0.9995,0.9993,0.9416,0.9991,0.9991,0.9998,0.9986,0.9996
13,0.9113,0.9278,0.9054,0.9166,0.9111,0.9118,0.9126,0.9159
